Point_ID,x,y,S_x,S_y,X,Y,S_X,S_Y
6,103.555,-103.67,0.003,0.004,103.951,-103.969,0.009,0.009
7,0.39,-112.66,0.005,0.005,0.001,-112.999,0.009,0.009
3,0.275,111.78,0.004,0.007,0.001,112.993,0.009,0.009
4,103.45,102.815,0.003,0.004,103.956,103.96,0.009,0.009
5,112.49,-0.395,0.003,0.003,112.998,0.003,0.009,0.009
32,18.565,-87.58,,,,,,
22,-5.79,2.035,,,,,,
12,6.84,95.54,,,,,,
13,86.84,102.195,,,,,,
23,93.77,2.36,,,,,,
33,92.655,-90.765,,,,,,
